name,year,path,geometry,bounds
AK_BrooksCamp_2012,2012,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_BrooksCamp_2012/ept.json,"POLYGON ((-155.8339862712362 58.46370089207057, -155.8339862712362 58.58472367097202, -155.6022029616277 58.58472367097202, -155.6022029616277 58.46370089207057, -155.8339862712362 58.46370089207057))","[-17347360, 8065364, -12414, -17321558, 8091166, 13388]"
AK_Coastal_2009,2009,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Coastal_2009/ept.json,"POLYGON ((-141.3098810271463 69.59264050264034, -141.3098810271463 69.7134874703156, -140.9623228437205 69.7134874703156, -140.9623228437205 69.59264050264034, -141.3098810271463 69.59264050264034))","[-15730544, 10937407, -19027, -15691854, 10976097, 19663]"
AK_Fairbanks-NSBorough_2010,2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Fairbanks-NSBorough_2010/ept.json,"POLYGON ((-147.9677986543152 64.65904047731968, -147.9677986543152 65.00481152230452, -147.1547334906586 65.00481152230452, -147.1547334906586 64.65904047731968, -147.9677986543152 64.65904047731968))","[-16471700, 9519129, -45314, -16381190, 9609639, 45196]"
AK_Juneau_2012,2012,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Juneau_2012/ept.json,"POLYGON ((-134.8770901933306 58.21333635556619, -134.8770901933306 58.54948059423269, -134.2359086761375 58.54948059423269, -134.2359086761375 58.21333635556619, -134.8770901933306 58.21333635556619))","[-15014449, 8012267, -35030, -14943073, 8083643, 36346]"
AK_Kenai_2008,2008,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Kenai_2008/ept.json,"POLYGON ((-151.8723799356578 59.56593617702551, -151.8723799356578 61.06080362492481, -148.8533937940116 61.06080362492481, -148.8533937940116 59.56593617702551, -151.8723799356578 59.56593617702551))","[-16906356, 8303726, -166851, -16570284, 8639798, 169221]"
AK_MatanuskaSusitna-Lot1_2011,2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_MatanuskaSusitna-Lot1_2011/ept.json,"POLYGON ((-150.758334236057 61.16246773286112, -150.758334236057 61.61047175405593, -149.8228286991749 61.61047175405593, -149.8228286991749 61.16246773286112, -150.758334236057 61.16246773286112))","[-16782341, 8663224, -51435, -16678201, 8767364, 52705]"
AK_MatanuskaSusitna-Lot2_2011,2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_MatanuskaSusitna-Lot2_2011/ept.json,"POLYGON ((-150.6324533152933 61.34780759010786, -150.6324533152933 62.93514520452533, -147.2346655846396 62.93514520452533, -147.2346655846396 61.34780759010786, -150.6324533152933 61.34780759010786))","[-16768328, 8706126, -188389, -16390088, 9084366, 189851]"
AK_NomeCreek_2010,2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NomeCreek_2010/ept.json,"POLYGON ((-147.2435948385638 65.274885940837, -147.2435948385638 65.43410537318928, -146.8617749102016 65.43410537318928, -146.8617749102016 65.274885940837, -147.2435948385638 65.274885940837))","[-16391082, 9681153, -20529, -16348578, 9723657, 21975]"
AK_NorthSlope_B10_2018,2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B10_2018/ept.json,"POLYGON ((-163.0642385322233 69.72028553468562, -163.0642385322233 69.76133887475106, -162.9456788810252 69.76133887475106, -162.9456788810252 69.72028553468562, -163.0642385322233 69.72028553468562))","[-18152228, 10978280, -6467, -18139030, 10991478, 6731]"
AK_NorthSlope_B11_2018,2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B11_2018/ept.json,"POLYGON ((-166.8282244884483 68.32607024748933, -166.8282244884483 68.37118593362489, -166.705945811974 68.37118593362489, -166.705945811974 68.32607024748933, -166.8282244884483 68.32607024748933))","[-18571233, 10544583, -6584, -18557621, 10558195, 7028]"
AK_NorthSlope_B12_2018,2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B12_2018/ept.json,"POLYGON ((-151.8664510547826 68.09165188300103, -151.8664510547826 68.20379141102232, -151.5651740747946 68.20379141102232, -151.5651740747946 68.09165188300103, -151.8664510547826 68.09165188300103))","[-16905696, 10474287, -15444, -16872158, 10507825, 18094]"
AK_NorthSlope_B13_2018,2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B13_2018/ept.json,"POLYGON ((-163.1005214865489 69.69902771233554, -163.1005214865489 69.78152832443111, -162.8622703068947 69.78152832443111, -162.8622703068947 69.69902771233554, -163.1005214865489 69.69902771233554))","[-18156267, 10971456, -13104, -18129745, 10997978, 13418]"
AK_NorthSlope_B14_2018,2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B14_2018/ept.json,"POLYGON ((-166.842103459588 68.14049973857044, -166.842103459588 68.46258379221889, -165.9709352633545 68.46258379221889, -165.9709352633545 68.14049973857044, -166.842103459588 68.14049973857044))","[-18572778, 10488876, -48102, -18475800, 10585854, 48876]"
AK_NorthSlope_B1_2018,2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B1_2018/ept.json,"POLYGON ((-143.6454558500929 70.11317257211027, -143.6454558500929 70.13483255011133, -143.5817473301431 70.13483255011133, -143.5817473301431 70.11317257211027, -143.6454558500929 70.11317257211027))","[-15990539, 11105651, -3519, -15983447, 11112743, 3573]"
AK_NorthSlope_B2_2018,2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B2_2018/ept.json,"POLYGON ((-151.0667258730952 70.19141337956638, -151.0667258730952 70.23690441227036, -150.9323379065909 70.23690441227036, -150.9323379065909 70.19141337956638, -151.0667258730952 70.19141337956638))","[-16816671, 11131304, -6851, -16801711, 11146264, 8109]"
AK_NorthSlope_B3_2018,2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B3_2018/ept.json,"POLYGON ((-158.3226340185967 70.46384419345088, -158.3226340185967 71.3907534404042, -155.485484856762 71.3907534404042, -155.485484856762 70.46384419345088, -158.3226340185967 70.46384419345088))","[-17624395, 11221392, -157520, -17308565, 11537222, 158310]"
AK_NorthSlope_B4_2018,2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B4_2018/ept.json,"POLYGON ((-160.06941707172 70.61775321105003, -160.06941707172 70.65553761738313, -159.9554567947766 70.65553761738313, -159.9554567947766 70.61775321105003, -160.06941707172 70.61775321105003))","[-17818846, 11272822, -6296, -17806160, 11285508, 6390]"
AK_NorthSlope_B5_2018,2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B5_2018/ept.json,"POLYGON ((-143.7506575530161 70.08289254336086, -143.7506575530161 70.13550409929853, -143.5960215600078 70.13550409929853, -143.5960215600078 70.08289254336086, -143.7506575530161 70.08289254336086))","[-16002250, 11095749, -8147, -15985036, 11112963, 9067]"
AK_NorthSlope_B6_2018,2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B6_2018/ept.json,"POLYGON ((-151.0904144471374 69.74861582448534, -151.0904144471374 70.70473905367676, -148.2636138773757 70.70473905367676, -148.2636138773757 69.74861582448534, -151.0904144471374 69.74861582448534))","[-16819308, 10987385, -156717, -16504630, 11302063, 157961]"
AK_NorthSlope_B7_2018,2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B7_2018/ept.json,"POLYGON ((-158.2444536394198 70.4287635134568, -158.2444536394198 71.31164460859875, -155.5498850794806 71.31164460859875, -155.5498850794806 70.4287635134568, -158.2444536394198 70.4287635134568))","[-17615692, 11209724, -149488, -17315734, 11509682, 150470]"
